split,image,label
val,images/val/full_frame_001770.jpg,labels/val/full_frame_001770.txt
val,images/val/full_frame_004530.jpg,labels/val/full_frame_004530.txt
val,images/val/full_frame_000510.jpg,labels/val/full_frame_000510.txt
val,images/val/full_frame_001470.jpg,labels/val/full_frame_001470.txt
val,images/val/full_frame_002880.jpg,labels/val/full_frame_002880.txt
val,images/val/full_frame_002280.jpg,labels/val/full_frame_002280.txt
val,images/val/full_frame_000600.jpg,labels/val/full_frame_000600.txt
val,images/val/full_frame_003000.jpg,labels/val/full_frame_003000.txt
val,images/val/full_frame_000930.jpg,labels/val/full_frame_000930.txt
val,images/val/full_frame_004260.jpg,labels/val/full_frame_004260.txt
val,images/val/full_frame_003660.jpg,labels/val/full_frame_003660.txt
val,images/val/full_frame_000330.jpg,labels/val/full_frame_000330.txt
val,images/val/full_frame_002040.jpg,labels/val/full_frame_002040.txt
val,images/val/full_frame_002730.jpg,labels/val/full_frame_002730.txt
val,images/val/full_frame_002820.jpg,labels/val/full_frame_002820.txt
val,images/val/full_frame_000720.jpg,labels/val/full_frame_000720.txt
val,images/val/full_frame_003030.jpg,labels/val/full_frame_003030.txt
val,images/val/full_frame_005850.jpg,labels/val/full_frame_005850.txt
val,images/val/full_frame_006240.jpg,labels/val/full_frame_006240.txt
val,images/val/full_frame_002670.jpg,labels/val/full_frame_002670.txt
val,images/val/full_frame_005760.jpg,labels/val/full_frame_005760.txt
val,images/val/full_frame_001170.jpg,labels/val/full_frame_001170.txt
val,images/val/full_frame_005070.jpg,labels/val/full_frame_005070.txt
val,images/val/full_frame_002700.jpg,labels/val/full_frame_002700.txt
val,images/val/full_frame_005940.jpg,labels/val/full_frame_005940.txt
val,images/val/full_frame_001200.jpg,labels/val/full_frame_001200.txt
val,images/val/full_frame_000030.jpg,labels/val/full_frame_000030.txt
val,images/val/full_frame_002160.jpg,labels/val/full_frame_002160.txt
val,images/val/full_frame_004680.jpg,labels/val/full_frame_004680.txt
val,images/val/full_frame_003540.jpg,labels/val/full_frame_003540.txt
val,images/val/full_frame_001710.jpg,labels/val/full_frame_001710.txt
val,images/val/full_frame_003330.jpg,labels/val/full_frame_003330.txt
val,images/val/full_frame_006180.jpg,labels/val/full_frame_006180.txt
val,images/val/full_frame_005250.jpg,labels/val/full_frame_005250.txt
val,images/val/full_frame_001500.jpg,labels/val/full_frame_001500.txt
val,images/val/full_frame_004440.jpg,labels/val/full_frame_004440.txt
val,images/val/full_frame_006480.jpg,labels/val/full_frame_006480.txt
val,images/val/full_frame_004800.jpg,labels/val/full_frame_004800.txt
test,images/test/full_frame_004020.jpg,labels/test/full_frame_004020.txt
test,images/test/full_frame_001800.jpg,labels/test/full_frame_001800.txt
test,images/test/full_frame_001680.jpg,labels/test/full_frame_001680.txt
test,images/test/full_frame_000690.jpg,labels/test/full_frame_000690.txt
test,images/test/full_frame_000210.jpg,labels/test/full_frame_000210.txt
test,images/test/full_frame_000240.jpg,labels/test/full_frame_000240.txt
test,images/test/full_frame_003360.jpg,labels/test/full_frame_003360.txt
test,images/test/full_frame_004710.jpg,labels/test/full_frame_004710.txt
test,images/test/full_frame_000660.jpg,labels/test/full_frame_000660.txt
test,images/test/full_frame_004320.jpg,labels/test/full_frame_004320.txt
test,images/test/full_frame_005670.jpg,labels/test/full_frame_005670.txt
test,images/test/full_frame_000780.jpg,labels/test/full_frame_000780.txt
test,images/test/full_frame_001050.jpg,labels/test/full_frame_001050.txt
test,images/test/full_frame_001740.jpg,labels/test/full_frame_001740.txt
test,images/test/full_frame_001890.jpg,labels/test/full_frame_001890.txt
test,images/test/full_frame_002130.jpg,labels/test/full_frame_002130.txt
test,images/test/full_frame_000180.jpg,labels/test/full_frame_000180.txt
test,images/test/full_frame_000840.jpg,labels/test/full_frame_000840.txt
test,images/test/full_frame_005130.jpg,labels/test/full_frame_005130.txt
